grad_norm,lg_loss_scale,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,param_norm,samples,step,vb,vb_q0,vb_q1,vb_q2,vb_q3
9.465991990858852,20.0,1.074568748474121,1.1274367310106754,1.0044453740119934,1.0039362521732555,1.1193861365318296,1.0009963512420654,1.0007122978568082,0.9996102783415053,0.9986036735422472,1.0036186738447712,222.36457724891952,64,0,0.0735725685954094,0.12672442689654417,0.00483507885494166,0.00533256315461853,0.11576746874065558
9.488097393423105,20.0055,0.8478439509868623,0.865868317696356,0.8206568248131699,0.8185581651600928,0.8922452338536586,0.8243474721908569,0.8463453527419799,0.816628346373053,0.8144164005915326,0.8212888193130498,222.3709432918706,704,10,0.023496491555124524,0.019522966201146758,0.00402847757453427,0.004141764625003846,0.07095641383901238
7.754688130520636,20.01550000000002,1.4764756262302399,0.5587768347619421,0.49832378026166557,0.4923764063339487,4.110086303705363,0.5041397273540495,0.542884364917681,0.4958239340343355,0.4898972577954591,0.4898336524503271,222.3951779112529,1344,20,0.9723358398769049,0.015892467372325077,0.002499844248269461,0.0024791476446951403,3.620252695849589
5.443871225111362,20.02550000000003,0.5907247766852379,0.37370566591836396,0.2453040407970545,0.23862458016627883,1.6374969161083919,0.26560905277729036,0.35397479521191655,0.2440812560729681,0.23741414157243895,0.24348651582286468,222.42872936608643,1984,30,0.3251157129183411,0.01973087077815275,0.0012227850318595312,0.0012104383908594274,1.3940103613822168
3.1233521113954064,20.035500000000035,0.1371545247733593,0.2496357938681524,0.10249458577216063,0.09087452130686291,0.09222154273009442,0.12934447899460794,0.22613114418312052,0.10197728643425144,0.09041858413011615,0.08749999043456506,222.45871590699127,2624,40,0.007810044148936868,0.023504649584339492,0.0005172991573892756,0.00045593735089105884,0.004721552198275531
1.4040577361198143,20.04550000000005,0.07478276938199997,0.18905614568602,0.049714712822629584,0.029918238825314185,0.027064335304048837,0.0695571880787611,0.1703460505005062,0.04945961507337708,0.029766165605389756,0.025732636158852434,222.4890296141504,3264,50,0.005225581413833424,0.018710095864484983,0.0002550980439052858,0.0001520731733044045,0.001331699181164311
0.5329593883514488,20.05550000000007,0.05927022583782673,0.17345188572777032,0.03286740475387614,0.015924747579412746,0.010231813343125397,0.05426105000078678,0.1548126735470512,0.0326974144988474,0.015845256362440493,0.009662100620334972,222.52308044009513,3904,60,0.005009175179293379,0.01863921290390531,0.00016999031875132754,7.949118798357723e-05,0.0005697126864788512
0.3320625985400939,20.065500000000082,0.07125274613499641,0.20802277207865844,0.030998504276133397,0.013119255244317988,0.006361571751189548,0.059990108013153076,0.16892995498051042,0.030834385348096877,0.0130549183030144,0.005976952196080358,222.5490979758007,4544,70,0.011262637260369957,0.039092815280357865,0.00016411899037824718,6.433702445398034e-05,0.0003846195659026605
0.2743807733671797,20.07550000000009,0.051341906189918525,0.17445699693131678,0.029074026383695346,0.01029050153674288,0.004624567017225285,0.04724636562168598,0.15716705206982987,0.02892253868270053,0.010239046222219873,0.004452458848910672,222.57516463067793,5184,80,0.004095542663708329,0.017289945128288457,0.0001514876865465201,5.1455369653270295e-05,0.00017210816302394973
0.2917809722133805,20.085500000000103,0.043148098513483994,0.13825285921824712,0.027205809112333883,0.009440735033235677,0.014387458251197437,0.038140838593244554,0.13034976691865235,0.027065740421937864,0.009393709601285175,0.0035679280299518736,222.59948318034378,5824,90,0.005007259311969392,0.007903091778028951,0.00014006876303076108,4.70254642317368e-05,0.010819529843056811
